i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 58 	Training Cost: 12097.156250	 Val Cost: 256020.124157	 Valid Acc: 0.6955969517358171
Epoch: 59 	Training Cost: 12095.692383	 Val Cost: 255355.619602	 Valid Acc: 0.6951735817104149
Epoch: 60 	Training Cost: 12103.342773	 Val Cost: 255228.861672	 Valid Acc: 0.6953147050522156
Epoch: 61 	Training Cost: 12093.146484	 Val Cost: 255004.636658	 Valid Acc: 0.6941857183178097
Epoch: 62 	Training Cost: 12095.479492	 Val Cost: 255025.738582	 Valid Acc: 0.694609088343212
Epoch: 63 	Training Cost: 12101.700195	 Val Cost: 254859.323942	 Valid Acc: 0.6936212249506069
Epoch: 64 	Training Cost: 12095.970703	 Val Cost: 254667.606232	 Valid Acc: 0.6933389782670054
Epoch: 65 	Training Cost: 12110.561523	 Val Cost: 254623.946941	 Valid Acc: 0.6950324583686142
Epoch: 66 	Training Cost: 12108.426758	 Val Cost: 254044.494454	 Valid Acc: 0.6927744848998024
Epoch: 67 	Training Cost: 12113.823242	 Val Cost: 253916.943490	 Valid Acc: 0.692492238216201
Epoch: 68 	Training Cost: 12113.089844	 Val Cost: 253425.471359	 Valid Acc: 0.6931978549252046
Epoch: 69 	Training Cost: 12118.788086	 Val Cost: 253019.084950	 Valid Acc: 0.6936212249506069
i: 10, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 0 	Training Cost: 14293.316406	 Val Cost: 373154.622150	 Valid Acc: 0.5170759243578888
Epoch: 1 	Training Cost: 14091.938477	 Val Cost: 368317.836068	 Valid Acc: 0.53655094552639
Epoch: 2 	Training Cost: 13877.817383	 Val Cost: 362324.933821	 Valid Acc: 0.567880327406153
Epoch: 3 	Training Cost: 13618.903320	 Val Cost: 354798.378807	 Valid Acc: 0.5872142252328535
Epoch: 4 	Training Cost: 13338.755859	 Val Cost: 346838.532445	 Valid Acc: 0.5999153259949196
Epoch: 5 	Training Cost: 13112.665039	 Val Cost: 339766.479908	 Valid Acc: 0.6072537397685577
Epoch: 6 	Training Cost: 12986.900391	 Val Cost: 333035.567423	 Valid Acc: 0.6165678803274062
Epoch: 7 	Training Cost: 12929.391602	 Val Cost: 323516.537786	 Valid Acc: 0.6234829240756421
Epoch: 8 	Training Cost: 12854.793945	 Val Cost: 319731.580815	 Valid Acc: 0.6316680779000847
Epoch: 9 	Training Cost: 13395.554688	 Val Cost: 323301.496319	 Valid Acc: 0.6232006773920407
